                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.83235,                0.60105,                 1.2283,                  0.869,                0.87396,                0.93176,                0.69937,                0.94415,                0.51778,                  1.332,               0.001684,               0.001684,               0.001684
                     87,                0.82964,                0.59318,                 1.2248,                0.86877,                0.87452,                0.93169,                0.69932,                0.94431,                0.51738,                 1.3322,               0.001585,               0.001585,               0.001585
                     88,                0.83153,                 0.5966,                 1.2272,                0.86813,                0.87297,                0.93168,                0.69953,                0.94408,                0.51724,                 1.3322,               0.001486,               0.001486,               0.001486
                     89,                0.82422,                0.58537,                 1.2196,                0.86812,                0.87387,                0.93171,                0.69917,                0.94418,                0.51693,                 1.3323,               0.001387,               0.001387,               0.001387
                     90,                0.82713,                0.58653,                 1.2247,                0.86802,                0.87467,                0.93188,                0.69924,                0.94431,                0.51686,                 1.3325,               0.001288,               0.001288,               0.001288
                     91,                0.80912,                0.47189,                 1.2807,                0.86617,                0.87603,                0.93172,                0.69902,                0.94432,                 0.5166,                 1.3326,               0.001189,               0.001189,               0.001189
                     92,                 0.7956,                0.45558,                 1.2698,                0.86598,                0.88036,                 0.9317,                0.69938,                0.94462,                 0.5162,                 1.3328,                0.00109,                0.00109,                0.00109
                     93,                0.78904,                0.45053,                 1.2644,                0.86596,                0.87882,                0.93137,                0.69924,                0.94489,                0.51607,                 1.3329,               0.000991,               0.000991,               0.000991
                     94,                0.78129,                0.44269,                 1.2589,                0.86631,                0.87995,                 0.9314,                0.69962,                0.94473,                0.51597,                 1.3329,               0.000892,               0.000892,               0.000892
                     95,                0.77927,                0.43993,                 1.2571,                0.86544,                0.88061,                0.93175,                0.69982,                0.94477,                0.51573,                 1.3329,               0.000793,               0.000793,               0.000793
                     96,                0.77312,                0.43424,                 1.2494,                0.86478,                0.88059,                0.93177,                0.69983,                0.94487,                0.51564,                 1.3329,               0.000694,               0.000694,               0.000694
                     97,                0.76745,                0.43098,                  1.247,                0.86566,                0.87972,                0.93157,                0.69974,                0.94505,                0.51539,                  1.333,               0.000595,               0.000595,               0.000595
                     98,                0.76081,                0.42316,                  1.243,                0.86543,                 0.8786,                0.93164,                0.69968,                0.94516,                0.51515,                 1.3331,               0.000496,               0.000496,               0.000496
                     99,                0.75787,                0.42033,                 1.2395,                0.86359,                0.88112,                0.93165,                 0.6999,                0.94536,                0.51505,                 1.3332,               0.000397,               0.000397,               0.000397
                    100,                0.75625,                 0.4196,                 1.2421,                 0.8689,                0.87663,                0.93168,                0.69997,                0.94533,                 0.5149,                 1.3332,               0.000298,               0.000298,               0.000298
